word,cefr_level,frequency
fill,A1,4.64
friendly,A1,4.64
thousand,A1,4.64
bird,A1,4.63
chicken,A1,4.63
false,A1,4.63
meat,A1,4.63
shirt,A1,4.63
tuesday,A1,4.63
cream,A1,4.62
opposite,A1,4.62
orange,A1,4.62
thursday,A1,4.62
breakfast,A1,4.61
customer,A1,4.61
ticket,A1,4.61
newspaper,A1,4.6
painting,A1,4.6
salt,A1,4.6
boyfriend,A1,4.59
dollar,A1,4.59
mile,A1,4.59
wednesday,A1,4.59
sentence,A1,4.58
bottle,A1,4.57
cheese,A1,4.57
detail,A1,4.57
diet,A1,4.57
favourite,A1,4.57
fruit,A1,4.57
parent,A1,4.57
prefer,A1,4.57
programme,A1,4.57
t-shirt,A1,4.57
describe,A1,4.56
object,A1,4.56
concert,A1,4.55
dirty,A1,4.55
prepare,A1,4.55
rice,A1,4.55
bathroom,A1,4.54
exciting,A1,4.54
sing,A1,4.54
bike,A1,4.53
cake,A1,4.53
hat,A1,4.53
paint,A1,4.52
pink,A1,4.52
singer,A1,4.52
tall,A1,4.52
theatre,A1,4.52
nose,A1,4.51
bread,A1,4.5
dancing,A1,4.5
shower,A1,4.5
chocolate,A1,4.49
colour,A1,4.49
repeat,A1,4.49
topic,A1,4.49
grey,A1,4.48
guitar,A1,4.48
meal,A1,4.48
chart,A1,4.47
lesson,A1,4.47
bedroom,A1,4.46
egg,A1,4.46
wash,A1,4.46
actress,A1,4.45
compare,A1,4.45
cooking,A1,4.45
hungry,A1,4.45
uncle,A1,4.45
bath,A1,4.44
boring,A1,4.43
clock,A1,4.43
desk,A1,4.43
ear,A1,4.43
gym,A1,4.43
swimming,A1,4.43
worker,A1,4.43
flower,A1,4.42
skill,A1,4.42
cousin,A1,4.41
mum,A1,4.41
telephone,A1,4.41
butter,A1,4.4
nurse,A1,4.4
vacation,A1,4.4
bye,A1,4.39
arrive,A1,4.38
pen,A1,4.38
thirty,A1,4.38
introduce,A1,4.37
routine,A1,4.37
spell,A1,4.37
cd,A1,4.36
coat,A1,4.36
juice,A1,4.36
tennis,A1,4.35
twelve,A1,4.35
delicious,A1,4.34
reader,A1,4.34
jacket,A1,4.32
pound,A1,4.32
purple,A1,4.32
midnight,A1,4.31
mouse,A1,4.31
piano,A1,4.31
toilet,A1,4.31
goodbye,A1,4.3
phrase,A1,4.3
dialogue,A1,4.29
fifty,A1,4.29
relax,A1,4.29
autumn,A1,4.26
exam,A1,4.26
menu,A1,4.26
dvd,A1,4.25
lion,A1,4.25
grandfather,A1,4.24
shoe,A1,4.24
photograph,A1,4.23
snake,A1,4.23
climb,A1,4.22
dish,A1,4.21
scientist,A1,4.21
swim,A1,4.21
bored,A1,4.2
forty,A1,4.2
tourist,A1,4.2
boot,A1,4.19
sheep,A1,4.19
taxi,A1,4.19
cinema,A1,4.17
aunt,A1,4.16
classroom,A1,4.15
farmer,A1,4.15
salad,A1,4.15
soup,A1,4.15
cow,A1,4.14
fifteen,A1,4.14
grandmother,A1,4.14
pepper,A1,4.14
pig,A1,4.14
homework,A1,4.13
sandwich,A1,4.13
eleven,A1,4.12
potato,A1,4.11
cafe,A1,4.09
euro,A1,4.09
jeans,A1,4.09
teenager,A1,4.09
elephant,A1,4.08
tooth,A1,4.08
passport,A1,4.05
blonde,A1,4.04
paragraph,A1,4.03
dictionary,A1,4.02
visitor,A1,4.01
banana,A1,4.0
spelling,A1,4.0
dancer,A1,3.99
bicycle,A1,3.98
geography,A1,3.98
skirt,A1,3.96
pencil,A1,3.95
sixteen,A1,3.95
hobby,A1,3.94
vegetable,A1,3.94
sixty,A1,3.93
onion,A1,3.89
thirteen,A1,3.89
umbrella,A1,3.89
fourteen,A1,3.88
seventeen,A1,3.87
upstairs,A1,3.87
tomato,A1,3.85
eighteen,A1,3.81
seventy,A1,3.78
supermarket,A1,3.78
sweater,A1,3.78
metre,A1,3.76
eighty,A1,3.75
policeman,A1,3.74
thirsty,A1,3.74
downstairs,A1,3.72
ninety,A1,3.71
trousers,A1,3.7
neighbour,A1,3.69
carrot,A1,3.62
waiter,A1,3.61
nineteen,A1,3.59
practise,A1,3.52
kilometre,A1,3.21
grandparent,A1,2.83
adj,A1,2.64
all,A2,6.52
can,A2,6.46
any,A2,6.07
may,A2,5.98
last,A2,5.86
while,A2,5.86
such,A2,5.84
used,A2,5.8
state,A2,5.78
since,A2,5.75
against,A2,5.68
might,A2,5.66
thought,A2,5.59
god,A2,5.57
government,A2,5.57
public,A2,5.57
top,A2,5.57
care,A2,5.56
system,A2,5.56
already,A2,5.55
case,A2,5.55
yet,A2,5.54
support,A2,5.53
including,A2,5.52
power,A2,5.52
based,A2,5.51
national,A2,5.51
side,A2,5.5
actually,A2,5.49
less,A2,5.49
service,A2,5.49
season,A2,5.48
general,A2,5.47
united,A2,5.47
following,A2,5.46
law,A2,5.46
war,A2,5.46
whole,A2,5.46
per,A2,5.45
per,A2,5.45
president,A2,5.45
working,A2,5.45
least,A2,5.44
able,A2,5.43
social,A2,5.42
level,A2,5.41
mind,A2,5.41
single,A2,5.41
control,A2,5.4
death,A2,5.4
guy,A2,5.4
almost,A2,5.39
lost,A2,5.39
research,A2,5.39
several,A2,5.39
along,A2,5.38
matter,A2,5.38
bit,A2,5.37
hit,A2,5.37
close,A2,5.36
international,A2,5.36
cause,A2,5.35
human,A2,5.35
series,A2,5.35
community,A2,5.34
data,A2,5.34
either,A2,5.33
light,A2,5.33
low,A2,5.33
deal,A2,5.32
rather,A2,5.32
among,A2,5.31
further,A2,5.31
heart,A2,5.31
myself,A2,5.31
act,A2,5.3
although,A2,5.3
major,A2,5.3
media,A2,5.3
according,A2,5.28
available,A2,5.28
education,A2,5.28
experience,A2,5.27
program,A2,5.27
chance,A2,5.26
process,A2,5.26
clear,A2,5.25
himself,A2,5.25
board,A2,5.24
field,A2,5.24
instead,A2,5.24
thinking,A2,5.24
department,A2,5.23
energy,A2,5.23
fight,A2,5.23
rest,A2,5.23
rest,A2,5.23
running,A2,5.23
term,A2,5.23
site,A2,5.22
especially,A2,5.21
position,A2,5.21
record,A2,5.21
lead,A2,5.2
likely,A2,5.2
couple,A2,5.19
dead,A2,5.19
hold,A2,5.19
industry,A2,5.19
inside,A2,5.19
sense,A2,5.19
view,A2,5.19
middle,A2,5.18
training,A2,5.18
wish,A2,5.18
finally,A2,5.17
gold,A2,5.17
king,A2,5.17
society,A2,5.17
alone,A2,5.16
average,A2,5.16
certain,A2,5.16
church,A2,5.16
medical,A2,5.16
original,A2,5.16
role,A2,5.16
themselves,A2,5.16
director,A2,5.15
exactly,A2,5.15
ground,A2,5.15
provide,A2,5.15
relationship,A2,5.15
source,A2,5.15
evidence,A2,5.14
rate,A2,5.14
round,A2,5.14
save,A2,5.14
amount,A2,5.13
size,A2,5.13
step,A2,5.13
forward,A2,5.12
review,A2,5.12
attention,A2,5.11
character,A2,5.11
quality,A2,5.11
blood,A2,5.1
itself,A2,5.1
oil,A2,5.1
serious,A2,5.1
stage,A2,5.1
attack,A2,5.09
decision,A2,5.09
kill,A2,5.09
perhaps,A2,5.09
technology,A2,5.09
choice,A2,5.08
code,A2,5.08
continue,A2,5.08
cover,A2,5.08
foreign,A2,5.08
increase,A2,5.08
pick,A2,5.08
race,A2,5.08
seem,A2,5.08
sign,A2,5.08
simple,A2,5.08
crazy,A2,5.07
daily,A2,5.07
figure,A2,5.07
safe,A2,5.07
voice,A2,5.07
whose,A2,5.07
army,A2,5.06
earth,A2,5.06
goal,A2,5.06
huge,A2,5.06
sir,A2,5.06
towards,A2,5.06
deep,A2,5.05
mark,A2,5.05
missing,A2,5.05
offer,A2,5.05
pass,A2,5.05
professional,A2,5.05
mine,A2,5.04
recent,A2,5.04
straight,A2,5.04
included,A2,5.03
officer,A2,5.03
pain,A2,5.03
response,A2,5.03
rock,A2,5.03
rock,A2,5.03
shall,A2,5.03
specific,A2,5.03
effect,A2,5.02
except,A2,5.02
network,A2,5.02
peace,A2,5.02
recently,A2,5.02
store,A2,5.02
track,A2,5.02
weight,A2,5.02
allow,A2,5.01
beat,A2,5.01
conference,A2,5.01
double,A2,5.01
expect,A2,5.01
gas,A2,5.01
normal,A2,5.01
population,A2,5.01
certainly,A2,5.0
completely,A2,5.0
credit,A2,5.0
cross,A2,5.0
female,A2,5.0
focus,A2,5.0
individual,A2,5.0
nearly,A2,5.0
particular,A2,5.0
region,A2,5.0
sort,A2,5.0
speed,A2,5.0
consider,A2,4.99
drop,A2,4.99
fair,A2,4.99
kid,A2,4.99
link,A2,4.99
sale,A2,4.99
tour,A2,4.99
immediately,A2,4.98
nature,A2,4.98
manager,A2,4.97
movement,A2,4.97
scene,A2,4.97
ability,A2,4.96
coach,A2,4.96
definitely,A2,4.96
gun,A2,4.96
heavy,A2,4.96
knowledge,A2,4.96
search,A2,4.96
wide,A2,4.96
wow,A2,4.96
author,A2,4.95
fear,A2,4.95
fit,A2,4.95
lady,A2,4.95
leader,A2,4.95
material,A2,4.95
opportunity,A2,4.95
regular,A2,4.95
secretary,A2,4.95
unit,A2,4.95
bar,A2,4.94
brain,A2,4.94
degree,A2,4.94
hurt,A2,4.94
image,A2,4.94
physical,A2,4.94
reach,A2,4.94
stupid,A2,4.94
successful,A2,4.94
active,A2,4.93
direction,A2,4.93
independent,A2,4.93
none,A2,4.93
ship,A2,4.93
worst,A2,4.93
cash,A2,4.92
clearly,A2,4.92
fan,A2,4.92
learning,A2,4.92
organization,A2,4.92
protect,A2,4.92
secret,A2,4.92
anyway,A2,4.91
competition,A2,4.91
direct,A2,4.91
dream,A2,4.91
easily,A2,4.91
luck,A2,4.91
necessary,A2,4.91
skin,A2,4.91
sweet,A2,4.91
touch,A2,4.91
closed,A2,4.9
disease,A2,4.9
driving,A2,4.9
notice,A2,4.9
professor,A2,4.9
crime,A2,4.89
male,A2,4.89
worse,A2,4.89
award,A2,4.88
broken,A2,4.88
comment,A2,4.88
equipment,A2,4.88
purpose,A2,4.88
avoid,A2,4.87
catch,A2,4.87
coast,A2,4.87
drug,A2,4.87
environment,A2,4.87
hall,A2,4.87
pop,A2,4.87
app,A2,4.86
condition,A2,4.86
heat,A2,4.86
queen,A2,4.86
accept,A2,4.85
appear,A2,4.85
distance,A2,4.85
mobile,A2,4.85
receive,A2,4.85
screen,A2,4.85
serve,A2,4.85
speech,A2,4.85
bottom,A2,4.84
engine,A2,4.84
solution,A2,4.84
square,A2,4.84
structure,A2,4.84
traditional,A2,4.84
wind,A2,4.84
worry,A2,4.84
count,A2,4.83
digital,A2,4.83
fresh,A2,4.83
lake,A2,4.83
mostly,A2,4.83
owner,A2,4.83
realize,A2,4.83
score,A2,4.83
separate,A2,4.83
throw,A2,4.83
wedding,A2,4.83
benefit,A2,4.82
fashion,A2,4.82
feature,A2,4.82
hill,A2,4.82
metal,A2,4.82
profile,A2,4.82
pull,A2,4.82
push,A2,4.82
seat,A2,4.82
target,A2,4.82
understanding,A2,4.82
apply,A2,4.81
enter,A2,4.81
memory,A2,4.81
ring,A2,4.81
ring,A2,4.81
rise,A2,4.81
silver,A2,4.81
method,A2,4.8
option,A2,4.8
prison,A2,4.8
stone,A2,4.8
wild,A2,4.8
winner,A2,4.8
camp,A2,4.79
extremely,A2,4.79
prevent,A2,4.79
trouble,A2,4.79
advantage,A2,4.78
gift,A2,4.78
herself,A2,4.78
impossible,A2,4.78
produce,A2,4.78
progress,A2,4.78
shut,A2,4.78
van,A2,4.78
wood,A2,4.78
background,A2,4.77
birth,A2,4.77
bridge,A2,4.77
copy,A2,4.77
lucky,A2,4.77
neither,A2,4.77
onto,A2,4.77
patient,A2,4.77
alive,A2,4.76
boss,A2,4.76
request,A2,4.76
vehicle,A2,4.76
billion,A2,4.75
corner,A2,4.75
criminal,A2,4.75
develop,A2,4.75
fix,A2,4.75
guide,A2,4.75
raise,A2,4.75
suggest,A2,4.75
surprise,A2,4.75
variety,A2,4.75
yours,A2,4.75
dry,A2,4.74
injury,A2,4.74
lovely,A2,4.74
somewhere,A2,4.74
strategy,A2,4.74
web,A2,4.74
audience,A2,4.73
excellent,A2,4.73
exist,A2,4.73
medicine,A2,4.73
mention,A2,4.73
reduce,A2,4.73
stress,A2,4.73
taste,A2,4.73
assistant,A2,4.72
electric,A2,4.72
ill,A2,4.72
mail,A2,4.72
shape,A2,4.72
sky,A2,4.72
teaching,A2,4.72
valley,A2,4.72
accident,A2,4.71
alternative,A2,4.71
anywhere,A2,4.71
bear,A2,4.71
climate,A2,4.71
discussion,A2,4.71
flying,A2,4.71
promise,A2,4.71
remove,A2,4.71
crowd,A2,4.7
forest,A2,4.7
moon,A2,4.7
ocean,A2,4.7
suit,A2,4.7
appearance,A2,4.69
jump,A2,4.69
suddenly,A2,4.69
survey,A2,4.69
user,A2,4.69
ancient,A2,4.68
connected,A2,4.68
download,A2,4.68
ending,A2,4.68
express,A2,4.68
hero,A2,4.68
joke,A2,4.68
planet,A2,4.68
soft,A2,4.68
surprised,A2,4.68
transport,A2,4.68
device,A2,4.67
drama,A2,4.67
factor,A2,4.67
feed,A2,4.67
lawyer,A2,4.67
platform,A2,4.67
route,A2,4.67
schedule,A2,4.67
smoke,A2,4.67
comfortable,A2,4.66
everywhere,A2,4.66
hole,A2,4.66
pack,A2,4.66
perform,A2,4.66
storm,A2,4.66
weak,A2,4.66
task,A2,4.65
argument,A2,4.64
smile,A2,4.64
strange,A2,4.64
temperature,A2,4.64
truck,A2,4.64
ah,A2,4.63
bowl,A2,4.63
context,A2,4.63
incredible,A2,4.63
neck,A2,4.63
novel,A2,4.63
slowly,A2,4.63
worried,A2,4.63
zero,A2,4.63
ourselves,A2,4.62
unfortunately,A2,4.62
usual,A2,4.62
wave,A2,4.62
bright,A2,4.61
fail,A2,4.61
recommend,A2,4.61
creative,A2,4.6
cycle,A2,4.6
extreme,A2,4.6
scared,A2,4.6
affect,A2,4.59
blow,A2,4.59
careful,A2,4.59
cry,A2,4.59
danger,A2,4.59
empty,A2,4.59
prize,A2,4.59
singing,A2,4.59
typical,A2,4.59
drawing,A2,4.58
guest,A2,4.58
possibility,A2,4.58
replace,A2,4.58
achieve,A2,4.57
chat,A2,4.57
item,A2,4.57
normally,A2,4.57
anybody,A2,4.56
basketball,A2,4.56
button,A2,4.56
expert,A2,4.56
